"","Name","City","State","Zip","EIN","Source","Goals","Category of Work","Methods","Focus Areas","lat","long"
"1830","The Regents of New Mexico State University","Las Cruces","NM","88003","856000401","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",32.3140354,-106.779807
"1831","The Road Home","Salt Lake City","UT","84115","870212465","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",40.7596198,-111.886797
"1832","The Salvation Army","Happy Valley","OR","97086","941156347","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",45.428679,-122.497174
"1833","The Salvation Army National Capital Area Command","Washington","DC","20020","580660607","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",38.8950368,-77.0365427
"1834","The Sanneh Foundation","Saint Paul","MN","55104","562332269","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",44.9497487,-93.0931028
"1835","The Scholarship Academy, Inc.","Atlanta","GA","30318","203721836","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",33.7489924,-84.3902644
"1836","The Science Zone","Casper","WY","82601","201780236","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.8501191,-106.325138
"1837","The Storehouse Project, Inc","Milford","CT","06461","464513921","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",41.2222218,-73.0570603
"1838","The Summer Learning Collaborative Inc","Wilmington","DE","19801","475494358","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.7459468,-75.546589
"1839","The United Advocacy Group Inc","Bridgeton","NJ","08302","471257147","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.427337,-75.2340768
"1840","The United Way of Lackawanna and Wayne Counties","Scranton","PA","18510","240824164","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",41.4086874,-75.6621294
"1841","The University Heights Center for the Community Association","Seattle","WA","98105","911474131","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",47.6038321,-122.330062
"1842","The University of Iowa","Iowa City","IA","52242","426004813","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services",41.6612561,-91.5299106
"1843","The University of Texas Rio Grande Valley","Edinburg","TX","78539","465292740","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",26.3013982,-98.1624501
"1844","The University of the South","Sewanee","TN","37383","620475697","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",35.2031373,-85.9210899
"1845","Think Big Youth Organization","Midway","GA","31320","475288693","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",31.805769,-81.4306642
"1846","Think Tank Inc","Springfield","OH","45502","203742833","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",39.9234046,-83.810138
"1847","Thunder Valley Community Development Corporation","Porcupine","SD","57772","208090454","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education",43.2430684,-102.3275694
"1848","Tioga Opportunities, Inc.","Owego","NY","13827","160907793","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",42.1034528,-76.2622669
"1849","Todu Guam Foundation, Ltd.","Tamuning","GU","96913","660873399","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Healthy Futures",13.4966854,144.7772156
"1850","Together, Inc. of Metropolitan Omaha","Omaha","NE","68108","470589290","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.2587459,-95.9383758
"1851","Tolowa Dee-ni Nation","Smith River","CA","95567","680087275","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",41.9281678,-124.1470274
"1852","Top Box Foods","Chicago","IL","60654","453930886","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",41.8755616,-87.6244212
"1853","Town of Superior","Superior","AZ","85173","860326655","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Recovery/Relief",33.293945,-111.09623
"1854","Trailhead Institute","Denver","CO","80202","841267213","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.7392364,-104.984862
"1855","Transplanting Traditions Community Farm, Inc","Chapel Hill","NC","27516","824415307","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",35.9131542,-79.05578
"1856","Travis, County of","Austin","TX","78701","746000192","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",30.2711286,-97.7436995
"1857","Treasure Coast Food Bank Inc","Fort Pierce","FL","34947","650123281","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Healthy Futures",27.4467056,-80.3256056
"1858","TreePeople, Inc.","Beverly Hills","CA","90210","237314838","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Environmental Stewardship",34.0696501,-118.3963062
"1859","Trevecca Nazarene University","Nashville","TN","37210","620497990","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",36.1622767,-86.7742984
"1860","Tri County Community Action Agency, Inc.","Bridgeton","NJ","08302","221942357","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.427337,-75.2340768
"1861","Tri-County United Way, Inc.","Glens Falls","NY","12801","146022433","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Healthy Futures",43.309941,-73.644447
"1862","Triangle Nonprofit & Volunteer Leadership Center, The","Durham","NC","27707","237128378","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Healthy Futures",35.996653,-78.9018053
"1863","Trident United Way","North Charleston","SC","29406","570314378","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",32.8546197,-79.9748103
"1864","Triton College","River Grove","IL","60171","362537114","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures; Veterans and Military Families",41.9258642,-87.8358943
"1865","Troy University","Troy","AL","36082","636001102","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Disaster Services; Education; Healthy Futures; Veterans and Military Families",31.8087678,-85.969951
"1866","Truckee Meadows Parks Foundation","Reno","NV","89509","454837735","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education; Environmental Stewardship; Healthy Futures",39.5261206,-119.8126581
"1867","Trustees of Boston University","Boston","MA","02215","042103547","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.3554334,-71.060511
"1868","Trustees of Clark University","Worcester","MA","01610","042111203","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",42.2625621,-71.8018877
"1869","Trustees of Indiana University","Bloomington","IN","47405","356001673","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building",39.1670396,-86.5342881
"1870","Trustees of the University of Pennsylvania, The","Philadelphia","PA","19104","231352685","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures",39.9527237,-75.1635262
"1871","Tulsa Children's Museum","Tulsa","OK","74105","260904448","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",36.1563122,-95.9927516
"1872","Turning the Page","Washington","DC","20003","522081934","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Education",38.8950368,-77.0365427
"1873","Turtle Mountain Band of Chippewa Indians","Belcourt","ND","58316","450223071","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Healthy Futures",48.839785,-99.745145
"1874","Tuskegee Macon County Comunity Development Corporation","Tuskegee","AL","36083","631207935","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Healthy Futures",32.4240535,-85.6908715
"1875","Twin Cities Habitat for Humanity, Inc.","Saint Paul","MN","55104","363363171","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",44.9497487,-93.0931028
"1876","Tygart Valley United Way, Inc.","Fairmont","WV","26554","550368459","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",39.4850848,-80.1425781
"1877","U.S. Environmental Protection Agency, Region 7","Lenexa","KS","66219","841024566","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Environmental Stewardship",38.9697458,-94.7845837
"1878","UCAN Chicago","Chicago","IL","60624","362167937","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",41.8755616,-87.6244212
"1879","ULSTER LITERACY ASSOCIATION INC.","Kingston","NY","12401","222484450","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",41.9287812,-74.0023702
"1880","UNIFIED GOVERNMENT OF WYANDOTTE COUNTY K","Kansas City","KS","66101","481194075","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Healthy Futures",39.1134562,-94.626497
"1881","UNIFIED SCHOOL DISTRICT 260","Derby","KS","67037","480727674","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",37.5455735,-97.2689331
"1882","UNITED WAY OF BENTON AND FRANKLIN COUNTIES","Kennewick","WA","99336","910682177","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Education",46.2087066,-119.119919
"1883","UNITED WAY OF CASS-CLAY, INC, THE","Fargo","ND","58104","410810008","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity",46.877229,-96.789821
"1884","UNITED WAY OF CENTRAL IOWA","Des Moines","IA","50314","420680425","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Economic Opportunity; Education; Healthy Futures",41.5868654,-93.6249494
"1885","UNITED WAY OF CENTRAL WEST VIRGINIA, INC.","Charleston","WV","25301","550402755","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity; Education; Healthy Futures; Veterans and Military Families",38.3505995,-81.6332812
"1886","UNITED WAY OF DUTCHESS COUNTY INC","Poughkeepsie","NY","12601","061045698","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Economic Opportunity",41.7065539,-73.9283672
"1887","UNITED WAY OF EAST CENTRAL IOWA, INC.","Cedar Rapids","IA","52401","420861239","AmeriCorps","Service & Volunteerism","Service & Volunteerism","Service and Volunteerism","Capacity Building; Disaster Services; Economic Opportunity; Healthy Futures",41.9758872,-91.6704053
